X,Y,LT,LD,SL,DD,RF,LULC,SO,AL,TWI,PC,Yields,Class
811245.0,9222456.0,5.0,0.053,8.207,1.851,4187.363,1.0,2.0,720.0,8.47,-2.0,0.36,1.0
815061.0,9227478.0,10.0,0.223,12.604,1.637,4526.579,1.0,2.0,785.0,6.09,3.0,0.4,1.0
794347.0,9214439.0,6.0,0.656,5.711,4.345,3777.627,1.0,2.0,1134.0,4.37,-1.0,0.4,1.0
798003.0,9239480.0,11.0,0.273,16.254,3.212,5109.365,1.0,3.0,994.0,3.616,-1.0,0.4,1.0
801470.0,9240836.0,17.0,1.198,23.684,4.854,5222.798,5.0,3.0,1353.0,5.336,3.0,0.4,1.0
803361.0,9232452.0,17.0,0.193,9.16,2.076,4734.308,4.0,3.0,732.0,11.206,8.0,0.4,1.0
789184.0,9220272.0,18.0,0.69,5.111,2.227,4005.915,1.0,3.0,773.0,8.869,1.0,0.4,1.0
788698.0,9221123.0,18.0,0.106,17.299,2.163,4066.071,1.0,3.0,712.0,7.237,1.0,0.4,1.0
789879.0,9221363.0,18.0,0.15,16.942,3.179,4087.866,1.0,3.0,729.0,6.005,-2.0,0.4,1.0
790528.0,9217452.0,6.0,0.192,5.111,3.932,3900.521,4.0,3.0,989.0,5.155,1.0,0.4,1.0
780647.0,9215483.0,6.0,0.925,27.142,2.601,3723.432,1.0,2.0,891.0,5.914,0.0,0.41,1.0
815075.0,9227040.0,10.0,0.069,11.528,1.892,4507.582,1.0,2.0,762.0,4.632,-3.0,0.42,1.0
820379.0,9230298.0,11.0,0.0,9.365,4.374,4889.969,1.0,2.0,1156.0,6.813,-1.0,0.47,1.0
819879.0,9222216.0,11.0,0.269,10.773,2.34,4165.364,1.0,2.0,898.0,7.128,3.0,0.48,1.0
812261.0,9224359.0,5.0,0.149,0.0,1.228,4259.136,4.0,2.0,729.0,6.784,0.0,0.48,1.0
814108.0,9222528.0,5.0,0.913,4.125,2.443,4144.569,1.0,2.0,838.0,17.31,-1.0,0.5,1.0
812487.0,9223658.0,5.0,0.0,6.455,1.662,4218.4,4.0,2.0,743.0,9.44,0.0,0.5,1.0
813443.0,9222423.0,5.0,1.202,12.08,2.668,4160.787,1.0,2.0,849.0,6.011,0.0,0.5,1.0
778654.0,9217207.0,6.0,2.303,25.098,1.615,3767.751,1.0,2.0,1036.0,6.081,3.0,0.5,1.0
781457.0,9209128.0,6.0,1.098,25.718,2.826,3467.504,5.0,2.0,1273.0,5.212,2.0,0.5,1.0
802766.0,9232374.0,17.0,0.283,7.209,2.987,4728.289,4.0,3.0,722.0,7.405,-3.0,0.5,1.0
812141.0,9222321.0,5.0,0.315,24.516,2.893,4181.323,1.0,2.0,748.0,6.618,-1.0,0.54,1.0
812923.0,9224044.0,5.0,0.546,4.125,1.907,4248.95,1.0,2.0,757.0,4.881,3.0,0.55,1.0
810473.0,9222015.0,5.0,0.231,1.62,0.948,4163.423,4.0,2.0,718.0,6.497,0.0,0.55,1.0
803694.0,9231710.0,17.0,0.0,3.238,2.261,4715.506,4.0,3.0,707.0,6.71,3.0,0.57,1.0
819976.0,9224706.0,11.0,0.691,4.714,3.597,4336.344,4.0,2.0,932.0,5.422,-6.0,0.6,1.0
817959.0,9222712.0,4.0,0.0,19.356,1.535,4165.316,4.0,2.0,890.0,6.438,-3.0,0.6,1.0
793133.0,9240658.0,11.0,0.989,6.843,2.425,5160.854,4.0,3.0,983.0,13.764,3.0,0.6,1.0
776911.0,9222020.0,18.0,0.0,2.291,2.526,3918.8,4.0,3.0,792.0,6.438,3.0,0.6,1.0
778533.0,9217938.0,6.0,1.921,16.558,2.25,3800.741,1.0,2.0,1023.0,4.979,-1.0,0.64,1.0
781761.0,9209278.0,6.0,1.115,24.856,2.957,3472.115,5.0,2.0,1209.0,5.773,-3.0,0.64,1.0
796477.0,9219598.0,6.0,2.332,14.197,3.09,3962.527,1.0,3.0,872.0,8.966,0.0,0.64,1.0
813960.0,9222684.0,5.0,0.933,1.811,2.188,4157.819,1.0,2.0,832.0,9.312,-3.0,0.65,1.0
780364.0,9213694.0,6.0,0.635,15.737,2.668,3689.98,1.0,2.0,978.0,7.823,-1.0,0.65,1.0
781201.0,9215621.0,6.0,0.584,10.447,3.016,3734.262,1.0,2.0,835.0,7.663,3.0,0.65,1.0
812410.0,9223617.0,5.0,0.0,5.111,1.662,4214.664,4.0,2.0,744.0,5.745,6.0,0.75,1.0
803418.0,9233809.0,17.0,0.45,7.429,2.079,4806.75,4.0,3.0,796.0,4.94,-1.0,0.75,1.0
812566.0,9220811.0,5.0,0.714,15.585,3.813,4099.843,1.0,2.0,975.0,6.775,-3.0,0.8,1.0
779079.0,9217642.0,6.0,1.678,14.738,1.843,3806.317,1.0,2.0,920.0,6.13,3.0,0.8,1.0
804152.0,9232012.0,17.0,0.029,3.238,2.463,4726.378,4.0,3.0,717.0,5.662,-3.0,0.8,1.0
801870.0,9233540.0,17.0,0.393,6.147,2.391,4781.868,1.0,3.0,761.0,8.563,3.0,0.8,1.0
814043.0,9227739.0,10.0,0.518,6.455,1.84,4542.689,4.0,2.0,723.0,5.274,0.0,0.82,1.0
803551.0,9233836.0,17.0,0.364,4.355,1.863,4808.4,4.0,3.0,797.0,4.881,0.0,0.85,1.0
795689.0,9215876.0,6.0,0.019,9.09,3.167,3824.106,4.0,2.0,926.0,4.497,0.0,0.86,1.0
803510.0,9233399.0,17.0,0.352,4.045,1.684,4776.966,4.0,3.0,773.0,6.289,6.0,0.88,1.0
781040.0,9217624.0,6.0,0.142,6.843,1.76,3864.975,1.0,2.0,773.0,4.256,3.0,0.95,1.0
784929.0,9214131.0,6.0,0.917,9.365,2.055,3760.954,1.0,2.0,1006.0,6.765,-1.0,0.96,1.0
819219.0,9223428.0,4.0,0.094,0.0,2.105,4215.916,1.0,2.0,873.0,12.378,0.0,1.0,2.0
812399.0,9220222.0,5.0,0.807,7.209,4.165,4069.79,1.0,2.0,1028.0,5.826,4.0,1.0,2.0
799292.0,9240657.0,11.0,0.547,17.874,2.585,5155.795,5.0,3.0,1253.0,4.786,-4.0,1.0,2.0
